Name of run in first row, energies in second, and eigenvalues in thirdThe rest is values of the wavefunction in colums. The last column is the space discretization.Hartree,Exchange,Exchange Correlation
(-2.8614902746293387+0j),(-2.7223976102934087+0j),(-2.8233117448462304+0j)
(-0.9178129382165808+0j),(-0.46305802313530064+0j),(-0.5114825101733056+0j)
0.6190398584288258,0.5948093254838942,0.5972644637383332,1.0050000000000001
0.6150903207092837,0.5912274242661626,0.5935991140659003,1.01
0.6111427111434057,0.5876488144282922,0.5899375115503709,1.0150000000000001
0.6071975714931113,0.5840739309663743,0.586280098355062,1.02
0.6032554307624307,0.580503197687924,0.5826273052175942,1.025
0.5993168053950755,0.5769370274158696,0.5789795516579176,1.03
0.5953821994702198,0.5733758221896749,0.5753372461834692,1.035
0.591452104896619,0.5698199734638995,0.5717007864916009,1.04
0.5875270016049369,0.5662698623037867,0.568070559669202,1.045
0.5836073577383192,0.5627258595783959,0.5644469423895301,1.05
0.5796936298411016,0.5591883261507529,0.5608303011062707,1.055
0.5757862630457458,0.5556576130655074,0.5572209922448795,1.06
0.5718856912578761,0.5521340617337125,0.5536193623911685,1.065
0.5679923373394438,0.5486180041150781,0.5500257484771365,1.07
0.5641066132900748,0.5451097628974431,0.5464404779640777,1.075
0.5602289204264471,0.5416096516736586,0.5428638690230332,1.08
0.5563596495597313,0.5381179751157785,0.5392962307125332,1.085
0.5524991811712118,0.5346350291467017,0.5357378631536827,1.09
0.5486478855859077,0.5311611011091739,0.5321890577025997,1.095
0.5448061231442367,0.5276964699321612,0.5286500971202048,1.1
0.5409742443717902,0.5242414062947776,0.5251212557394678,1.105
0.5371525901470946,0.5207961727875969,0.521602799630003,1.11
0.5333414918675136,0.5173610240714349,0.5180949867601343,1.115
0.5295412716131257,0.5139362070337169,0.5145980671564245,1.12
0.5257522423086123,0.510521960942255,0.5111122830607168,1.125
0.5219747078833006,0.507118517596733,0.507637869084603,1.1300000000000001
0.5182089634291882,0.5037261014776176,0.5041750523615307,1.135
0.5144552953569881,0.5003449298927557,0.5007240526963963,1.1400000000000001
0.5107139815503263,0.49697521312160403,0.4972850827127468,1.145
0.5069852915178896,0.4936171545570457,0.49385834799759165,1.1500000000000001
0.5032694865437097,0.4902709508449637,0.4904440472438661,1.155
0.4995668198355034,0.48693679202146584,0.4870423723905211,1.16
0.4958775366710582,0.48361486164783835,0.483653508760326,1.165
0.4922018745427265,0.4803053369432963,0.48027763519541955,1.17
0.4885400633000659,0.47700838891546926,0.47691492419052306,1.175
